Weighted.Score,Food.Insecure.Percentage,NTA,NTA.Name,Sg Abv Ca,Unemployment.Rate,Food.Insecure.Percentage Rank,Geometry,Rank,sg abv ca Rank,Unemployment.Rate Rank,Unemployment.Rate.Perc,
5.54014,14.34%,QN0903,South Richmond Hill,"-282,488.50",653.80%,127,MultiPolygon,147,144,121,6.54%,
4.78721,16.15%,QN0904,Ozone Park (North),"-721,969.80",694.89%,100,MultiPolygon,172,165,112,6.95%,
5.64258,14.20%,QN0905,Woodhaven,"-306,872.20",743.98%,130,MultiPolygon,138,145,96,7.44%,
6.33243,14.03%,QN1001,South Ozone Park,"-41,175.60",969.60%,134,MultiPolygon,73,122,40,9.70%,
5.37701,13.32%,QN1002,Ozone Park,"-168,225.50",595.16%,149,MultiPolygon,152,134,135,5.95%,
6.56652,12.96%,QN1003,Howard Beach-Lindenwood,"568,422.40",831.63%,154,MultiPolygon,57,59,70,8.32%,
6.45404,12.17%,QN1101,Auburndale,"676,624.20",569.18%,171,MultiPolygon,64,51,140,5.69%,
6.39873,12.25%,QN1102,Bayside,"694,876.20",512.52%,168,MultiPolygon,69,46,161,5.13%,
5.93571,10.68%,QN1103,Douglaston-Little Neck,"351,451.30",497.37%,181,MultiPolygon,115,85,167,4.97%,
5.99554,10.57%,QN1104,Oakland Gardens-Hollis Hills,"433,142.50",455.58%,182,MultiPolygon,109,74,178,4.56%,
2.10935,20.44%,QN1201,Jamaica,"-3,542,838.00",1016.54%,54,MultiPolygon,194,195,33,10.17%,
2.93347,16.03%,QN1202,South Jamaica,"-2,921,530.90",1347.54%,103,MultiPolygon,187,193,15,13.48%,
5.19354,12.33%,QN1203,Baisley Park,"-772,610.80",905.33%,166,MultiPolygon,159,167,55,9.05%,
4.84827,13.37%,QN1204,Springfield Gardens (North)-Rochdale Village,"-961,632.40",838.09%,148,MultiPolygon,169,172,68,8.38%,
2.6421,7.84%,QN1205,St. Albans,"-2,396,073.30",442.70%,195,MultiPolygon,190,186,180,4.43%,
5.05511,13.64%,QN1206,Hollis,"-863,121.10",914.77%,140,MultiPolygon,165,168,51,9.15%,
5.89707,11.70%,QN1301,Glen Oaks-Floral Park-New Hyde Park,"412,723.90",387.24%,177,MultiPolygon,122,78,189,3.87%,
6.34968,12.66%,QN1302,Bellerose,"500,356.00",708.89%,160,MultiPolygon,70,69,104,7.09%,
4.06199,12.02%,QN1303,Queens Village,"-1,715,951.30",941.09%,175,MultiPolygon,182,182,45,9.41%,
4.43647,6.72%,QN1304,Cambria Heights,"-865,531.20",546.28%,196,MultiPolygon,179,169,148,5.46%,
3.81923,5.81%,QN1305,Laurelton,"-1,291,586.70",476.25%,197,MultiPolygon,183,179,172,4.76%,
5.58445,9.59%,QN1306,Springfield Gardens (South)-Brookville,"-273,574.90",705.27%,190,MultiPolygon,142,143,109,7.05%,
5.65402,9.24%,QN1307,Rosedale,"-51,395.70",716.03%,191,MultiPolygon,137,124,102,7.16%,
6.11616,19.74%,QN1401,Far Rockaway-Bayswater,"-159,657.40",993.35%,63,MultiPolygon,93,132,35,9.93%,
6.03034,21.03%,QN1402,Rockaway Beach-Arverne-Edgemere,"-116,307.90",925.48%,44,MultiPolygon,103,130,49,9.25%,
6.61739,13.64%,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"548,422.10",691.39%,141,MultiPolygon,55,61,114,6.91%,
5.99819,20.18%,SI0101,St. George-New Brighton,"-66,480.80",846.60%,58,MultiPolygon,108,126,66,8.47%,
3.17661,19.32%,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,"-2,000,244.40",509.83%,67,MultiPolygon,186,185,162,5.10%,
5.55022,14.15%,SI0103,Rosebank-Shore Acres-Park Hill,"15,748.60",537.35%,132,MultiPolygon,144,117,153,5.37%,
5.44631,12.64%,SI0104,West New Brighton-Silver Lake-Grymes Hill,"-217,631.70",507.67%,162,MultiPolygon,150,139,165,5.08%,
6.06971,10.31%,SI0105,Westerleigh-Castleton Corners,"467,863.90",483.81%,185,MultiPolygon,98,70,168,4.84%,
4.9458,17.95%,SI0106,Port Richmond,"-916,272.50",875.56%,77,MultiPolygon,168,171,59,8.76%,
6.74813,14.80%,SI0107,Mariner's Harbor-Arlington-Graniteville,"531,830.80",834.69%,121,MultiPolygon,48,63,69,8.35%,
6.23863,13.42%,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,"526,239.10",572.99%,146,MultiPolygon,82,64,139,5.73%,
6.3248,12.13%,SI0202,New Dorp-Midland Beach,"554,150.90",620.72%,173,MultiPolygon,76,60,128,6.21%,
5.80432,12.58%,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,"230,434.70",518.93%,163,MultiPolygon,128,97,159,5.19%,
6.41326,12.01%,SI0204,New Springville-Willowbrook-Bulls Head-Travis,"756,226.90",456.02%,176,MultiPolygon,65,39,177,4.56%,
6.20365,12.84%,SI0301,Oakwood-Richmondtown,"393,103.40",700.09%,157,MultiPolygon,89,80,111,7.00%,
6.51795,10.42%,SI0302,Great Kills-Eltingville,"778,565.20",533.10%,184,MultiPolygon,62,37,155,5.33%,
6.04298,8.97%,SI0303,Arden Heights-Rossville,"452,995.90",476.47%,192,MultiPolygon,100,72,170,4.76%,
5.87697,8.74%,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,"427,883.40",350.04%,193,MultiPolygon,123,75,193,3.50%,
5.54171,8.28%,SI0305,Tottenville-Charleston,"187,147.00",158.11%,194,MultiPolygon,145,104,197,1.58%,
